,0,1,2,3,4,5,6,7,8
0,0.051,0.122,0.1475,0.05,0.156,0.111,0.2785,0.0805,0.0035
1,0.0445,0.1325,0.128,0.0465,0.1675,0.111,0.281,0.0775,0.0115
2,0.0495,0.13,0.1315,0.049,0.1595,0.1115,0.2825,0.081,0.0055
3,0.045,0.1275,0.152,0.0475,0.146,0.1155,0.2845,0.0725,0.0095
4,0.0415,0.137,0.138,0.063,0.16,0.1055,0.27,0.0735,0.0115
5,0.0375,0.1265,0.1325,0.053,0.155,0.109,0.2945,0.0835,0.0085
6,0.0445,0.122,0.1345,0.057,0.132,0.1105,0.2935,0.0925,0.0135
7,0.049,0.133,0.1515,0.0555,0.135,0.1065,0.2745,0.079,0.016
8,0.0455,0.1235,0.129,0.072,0.147,0.098,0.2965,0.0755,0.013
9,0.051,0.116,0.149,0.065,0.1435,0.1,0.2785,0.088,0.009
10,0.048,0.1275,0.137,0.066,0.144,0.101,0.289,0.073,0.0145
11,0.05,0.14,0.1355,0.0625,0.128,0.1045,0.289,0.0795,0.011
12,0.048,0.1275,0.1365,0.0645,0.144,0.0965,0.287,0.085,0.011
13,0.0425,0.139,0.1285,0.065,0.139,0.1125,0.283,0.075,0.0155
14,0.052,0.1375,0.1265,0.063,0.1335,0.0975,0.3045,0.076,0.0095
15,0.0555,0.1545,0.1405,0.0525,0.1385,0.1005,0.2665,0.081,0.0105
16,0.0545,0.1345,0.1615,0.0495,0.1325,0.091,0.2785,0.085,0.013
17,0.0475,0.125,0.1395,0.067,0.141,0.1045,0.2815,0.0795,0.0145
