,0,1,2,3,4,5,6,7,8
0,0.06,0.109,0.089,0.0465,0.1585,0.15,0.276,0.0995,0.0115
1,0.0555,0.095,0.101,0.041,0.163,0.1405,0.283,0.1085,0.0125
2,0.0625,0.1085,0.0935,0.045,0.1565,0.148,0.2735,0.097,0.0155
3,0.063,0.0985,0.0875,0.0465,0.1505,0.1385,0.2925,0.108,0.015
4,0.069,0.0965,0.0955,0.0495,0.15,0.137,0.292,0.0945,0.016
5,0.06,0.1135,0.0995,0.042,0.1485,0.132,0.28,0.109,0.0155
6,0.0585,0.122,0.089,0.043,0.1405,0.127,0.305,0.104,0.011
7,0.07,0.095,0.0965,0.0425,0.1435,0.1335,0.3045,0.101,0.0135
8,0.0585,0.104,0.1005,0.038,0.1645,0.1325,0.2895,0.1025,0.01
9,0.0605,0.1075,0.1035,0.0405,0.143,0.138,0.2895,0.103,0.0145
10,0.058,0.095,0.102,0.047,0.16,0.129,0.302,0.0955,0.0115
11,0.055,0.107,0.096,0.0455,0.154,0.1275,0.297,0.1065,0.0115
12,0.064,0.114,0.0945,0.041,0.1495,0.141,0.289,0.0975,0.0095
