,0,1,2,3,4,5,6,7,8
0,0.0245,0.061,0.1855,0.03,0.0875,0.2215,0.1885,0.119,0.0825
1,0.0255,0.07,0.1605,0.033,0.1125,0.1995,0.193,0.1235,0.0825
2,0.017,0.065,0.1625,0.0375,0.0945,0.21,0.2055,0.128,0.08
3,0.023,0.056,0.162,0.0325,0.0935,0.215,0.209,0.129,0.08
4,0.023,0.065,0.1825,0.0285,0.1065,0.2045,0.1815,0.118,0.0905
5,0.0225,0.0615,0.189,0.028,0.0885,0.2085,0.187,0.1335,0.0815
6,0.0255,0.062,0.177,0.031,0.109,0.206,0.181,0.1285,0.08
7,0.035,0.0605,0.1685,0.0255,0.1085,0.227,0.1775,0.127,0.0705
8,0.0275,0.0605,0.18,0.0265,0.097,0.225,0.186,0.123,0.0745
9,0.0295,0.0595,0.186,0.0275,0.1,0.2185,0.1945,0.122,0.0625
10,0.032,0.063,0.173,0.034,0.1055,0.213,0.2015,0.1175,0.0605
11,0.03,0.0645,0.1815,0.0285,0.105,0.211,0.184,0.1275,0.068
12,0.024,0.0615,0.1675,0.0245,0.1165,0.2215,0.1965,0.1175,0.0705
13,0.026,0.0665,0.1725,0.0245,0.096,0.2275,0.187,0.1345,0.0655
14,0.0315,0.0555,0.169,0.033,0.099,0.231,0.2025,0.113,0.0655
