,0,1,2,3,4,5,6,7,8
0,0.036,0.12,0.1715,0.0655,0.148,0.1485,0.219,0.072,0.0195
1,0.0405,0.121,0.178,0.0715,0.145,0.1385,0.2125,0.0785,0.0145
2,0.05,0.121,0.1775,0.069,0.136,0.15,0.21,0.069,0.0175
3,0.0515,0.126,0.178,0.072,0.14,0.129,0.2185,0.0725,0.0125
4,0.0565,0.1265,0.174,0.0655,0.129,0.143,0.219,0.07,0.0165
5,0.053,0.1115,0.1765,0.0695,0.1295,0.151,0.2235,0.0685,0.017
6,0.048,0.1205,0.1755,0.0665,0.144,0.1485,0.2205,0.0605,0.016
7,0.042,0.1165,0.186,0.067,0.1335,0.136,0.231,0.073,0.015
8,0.0335,0.1015,0.174,0.0695,0.1425,0.155,0.2225,0.0815,0.02
9,0.052,0.123,0.172,0.0675,0.147,0.1455,0.2155,0.063,0.0145
10,0.0435,0.114,0.184,0.07,0.1405,0.1425,0.214,0.0805,0.011
11,0.0425,0.109,0.184,0.067,0.144,0.144,0.2325,0.063,0.014
12,0.0465,0.115,0.149,0.068,0.155,0.1515,0.2335,0.067,0.0145
13,0.0535,0.1175,0.1825,0.0755,0.135,0.138,0.2145,0.072,0.0115
14,0.056,0.12,0.1795,0.0815,0.127,0.1395,0.2125,0.071,0.013
15,0.043,0.104,0.179,0.083,0.1385,0.156,0.2185,0.064,0.014
16,0.0565,0.1115,0.1725,0.0735,0.1425,0.1355,0.223,0.0685,0.0165
17,0.0755,0.154,0.2095,0.076,0.1145,0.101,0.173,0.069,0.0275
18,0.0755,0.1495,0.2255,0.076,0.113,0.115,0.154,0.066,0.0255
19,0.0745,0.16,0.2095,0.0605,0.115,0.1065,0.1865,0.0615,0.026
