,0,1,2,3,4,5,6,7,8
0,0.041,0.1025,0.1905,0.0725,0.157,0.171,0.197,0.0625,0.006
1,0.036,0.118,0.1855,0.058,0.1565,0.1775,0.201,0.0615,0.006
2,0.0455,0.1185,0.1685,0.058,0.153,0.173,0.232,0.049,0.0025
3,0.038,0.121,0.1925,0.0505,0.1475,0.18,0.195,0.0665,0.009
4,0.0395,0.1195,0.193,0.049,0.147,0.171,0.2055,0.0705,0.005
5,0.044,0.114,0.1925,0.064,0.144,0.16,0.2055,0.0635,0.0125
6,0.052,0.1275,0.2005,0.056,0.1465,0.152,0.2,0.0595,0.006
7,0.0455,0.137,0.2105,0.0455,0.1425,0.1525,0.195,0.066,0.0055
8,0.048,0.1125,0.2085,0.059,0.15,0.1545,0.201,0.061,0.0055
9,0.048,0.1285,0.1985,0.057,0.13,0.155,0.2025,0.071,0.0095
10,0.0495,0.136,0.2195,0.0545,0.1365,0.1455,0.1925,0.059,0.007
11,0.0525,0.1385,0.208,0.0575,0.1505,0.141,0.1875,0.055,0.0095
12,0.0505,0.1245,0.2105,0.056,0.15,0.1485,0.198,0.0575,0.0045
13,0.0395,0.139,0.2235,0.048,0.143,0.154,0.1945,0.049,0.0095
14,0.053,0.1275,0.2055,0.0635,0.138,0.1335,0.196,0.075,0.008
15,0.0485,0.11,0.2225,0.047,0.1455,0.152,0.205,0.0615,0.008
16,0.052,0.124,0.2095,0.0485,0.1345,0.143,0.215,0.0685,0.005
17,0.0375,0.116,0.2215,0.051,0.1465,0.1445,0.211,0.0675,0.0045
18,0.0465,0.141,0.1985,0.0455,0.1505,0.163,0.1925,0.054,0.0085
19,0.0475,0.1235,0.203,0.0545,0.134,0.1525,0.218,0.0615,0.0055
20,0.0435,0.12,0.197,0.0555,0.1465,0.168,0.213,0.053,0.0035
21,0.037,0.124,0.194,0.0655,0.152,0.1515,0.2065,0.0605,0.009
22,0.0465,0.1265,0.203,0.0535,0.1505,0.1545,0.2045,0.0535,0.0075
23,0.0415,0.122,0.187,0.062,0.144,0.172,0.1995,0.0605,0.0115
24,0.0395,0.1255,0.194,0.053,0.1585,0.1685,0.2085,0.0485,0.004
25,0.036,0.129,0.189,0.055,0.1525,0.1775,0.198,0.057,0.006
26,0.0395,0.1185,0.1805,0.058,0.1385,0.169,0.217,0.069,0.01
27,0.042,0.1195,0.196,0.0585,0.1575,0.154,0.2035,0.0635,0.0055
28,0.0415,0.122,0.1875,0.0575,0.152,0.165,0.209,0.056,0.0095
29,0.037,0.132,0.191,0.0615,0.1625,0.1535,0.196,0.0625,0.004
