,0,1,2,3,4,5,6,7,8
0,0.136,0.2145,0.1595,0.051,0.057,0.046,0.216,0.082,0.038
1,0.1325,0.2235,0.156,0.049,0.048,0.052,0.208,0.0915,0.0395
2,0.1315,0.222,0.1605,0.047,0.05,0.04,0.2175,0.0955,0.036
3,0.1355,0.233,0.1705,0.0465,0.0435,0.0445,0.2,0.0865,0.04
4,0.1455,0.216,0.152,0.051,0.052,0.0475,0.2105,0.088,0.0375
5,0.1475,0.2285,0.156,0.048,0.0405,0.0425,0.212,0.092,0.033
6,0.144,0.2185,0.15,0.048,0.049,0.0495,0.223,0.082,0.036
7,0.13,0.231,0.1645,0.0465,0.0565,0.0465,0.2105,0.084,0.0305
8,0.135,0.21,0.164,0.0515,0.0475,0.044,0.2155,0.085,0.0475
9,0.1345,0.2055,0.159,0.0515,0.052,0.0525,0.2255,0.0905,0.029
10,0.1325,0.2225,0.15,0.0455,0.048,0.038,0.2265,0.092,0.045
11,0.1275,0.214,0.161,0.051,0.0585,0.0385,0.2195,0.0905,0.0395
12,0.1365,0.2295,0.144,0.0435,0.048,0.0525,0.2115,0.095,0.0395
13,0.14,0.21,0.1665,0.051,0.0495,0.048,0.21,0.0865,0.0385
14,0.1525,0.216,0.1555,0.044,0.0545,0.048,0.1995,0.0905,0.0395
15,0.137,0.226,0.1485,0.055,0.0545,0.046,0.2095,0.0835,0.04
16,0.1375,0.229,0.15,0.05,0.047,0.05,0.219,0.082,0.0355
17,0.142,0.2075,0.1625,0.046,0.0565,0.0495,0.216,0.08,0.04
18,0.1465,0.219,0.1595,0.047,0.052,0.0415,0.223,0.0775,0.034
19,0.1425,0.215,0.1465,0.043,0.059,0.0445,0.2245,0.0825,0.0425
20,0.139,0.2195,0.163,0.049,0.0555,0.044,0.2165,0.081,0.0325
21,0.141,0.2075,0.1565,0.0405,0.06,0.0415,0.227,0.0875,0.0385
22,0.1385,0.2145,0.1605,0.0455,0.0575,0.0475,0.2025,0.0915,0.042
23,0.142,0.221,0.162,0.05,0.0565,0.0465,0.1935,0.09,0.0385
24,0.1485,0.2105,0.1525,0.042,0.0485,0.049,0.2255,0.0855,0.038
25,0.143,0.214,0.1665,0.0435,0.0515,0.0445,0.219,0.08,0.038
26,0.138,0.2185,0.156,0.0435,0.051,0.0475,0.216,0.0895,0.04
27,0.1395,0.207,0.157,0.0545,0.051,0.0485,0.213,0.0895,0.04
28,0.14,0.226,0.1605,0.0495,0.0575,0.0385,0.2095,0.079,0.0395
29,0.149,0.2135,0.156,0.0425,0.058,0.0445,0.203,0.0905,0.043
30,0.1435,0.216,0.16,0.0415,0.052,0.0405,0.223,0.089,0.0345
31,0.1355,0.221,0.166,0.0475,0.048,0.0455,0.213,0.083,0.0405
32,0.139,0.209,0.1645,0.0465,0.053,0.0465,0.2115,0.0855,0.0445
33,0.145,0.2075,0.16,0.0455,0.049,0.054,0.2125,0.0865,0.04
34,0.1375,0.225,0.161,0.0475,0.055,0.045,0.2065,0.081,0.0415
35,0.1365,0.219,0.1545,0.0495,0.0545,0.0485,0.2065,0.0865,0.0445
36,0.143,0.2255,0.1505,0.048,0.0475,0.0535,0.206,0.087,0.039
37,0.15,0.216,0.148,0.0475,0.0525,0.045,0.2065,0.086,0.0485
38,0.1445,0.215,0.1505,0.0485,0.052,0.0525,0.2155,0.0815,0.04
39,0.128,0.2075,0.1585,0.0485,0.0475,0.0485,0.229,0.0885,0.044
