,0,1,2,3,4,5,6,7,8
0,0.0425,0.145,0.1255,0.056,0.1335,0.114,0.2865,0.088,0.009
1,0.051,0.1175,0.1445,0.061,0.1505,0.1015,0.2765,0.088,0.0095
2,0.0535,0.1245,0.144,0.0645,0.1395,0.1055,0.2805,0.0765,0.0115
3,0.0505,0.1275,0.138,0.0565,0.1535,0.11,0.2795,0.0725,0.012
4,0.053,0.1185,0.1425,0.0565,0.1565,0.0965,0.288,0.0765,0.012
5,0.0475,0.132,0.1285,0.0595,0.16,0.1005,0.2885,0.069,0.0145
6,0.055,0.1235,0.1365,0.0545,0.149,0.1035,0.287,0.0785,0.0125
7,0.042,0.1335,0.143,0.051,0.1475,0.1075,0.2865,0.078,0.011
8,0.0475,0.1285,0.1415,0.058,0.1465,0.1185,0.274,0.079,0.0065
9,0.0475,0.1295,0.1425,0.057,0.1375,0.1075,0.2815,0.0855,0.0115
10,0.045,0.143,0.1375,0.062,0.145,0.107,0.271,0.083,0.0065
11,0.0485,0.1375,0.14,0.059,0.138,0.1035,0.282,0.077,0.0145
12,0.057,0.1265,0.146,0.0495,0.15,0.106,0.2745,0.08,0.0105
13,0.047,0.136,0.1345,0.054,0.144,0.103,0.2845,0.085,0.012
14,0.045,0.133,0.1555,0.0575,0.1375,0.1125,0.266,0.0745,0.0185
15,0.0505,0.134,0.144,0.0625,0.1245,0.1095,0.2825,0.079,0.0135
16,0.043,0.1295,0.1305,0.065,0.145,0.0905,0.299,0.0795,0.018
17,0.046,0.1235,0.143,0.063,0.155,0.1015,0.2805,0.0755,0.012
18,0.0505,0.136,0.1455,0.0545,0.146,0.091,0.282,0.082,0.0125
19,0.047,0.126,0.156,0.062,0.132,0.12,0.276,0.071,0.01
20,0.046,0.125,0.1415,0.056,0.151,0.114,0.283,0.0755,0.008
21,0.0555,0.141,0.134,0.0625,0.139,0.113,0.268,0.0775,0.0095
22,0.046,0.1365,0.136,0.0595,0.1415,0.108,0.282,0.081,0.0095
23,0.0445,0.1205,0.147,0.063,0.133,0.1235,0.2845,0.075,0.009
24,0.05,0.128,0.1565,0.0585,0.1385,0.1065,0.2765,0.076,0.0095
25,0.049,0.1255,0.145,0.0585,0.148,0.1115,0.277,0.0735,0.012
26,0.0475,0.138,0.1305,0.06,0.141,0.1075,0.2775,0.084,0.014
27,0.0465,0.138,0.13,0.066,0.145,0.099,0.2835,0.0775,0.0145
28,0.045,0.134,0.1415,0.0585,0.136,0.096,0.29,0.0835,0.0155
29,0.0445,0.1405,0.1385,0.0585,0.139,0.102,0.2875,0.081,0.0085
30,0.05,0.137,0.14,0.0505,0.144,0.113,0.284,0.0765,0.005
31,0.048,0.14,0.147,0.044,0.136,0.1075,0.3005,0.07,0.007
32,0.049,0.1315,0.134,0.063,0.128,0.1135,0.294,0.077,0.01
33,0.055,0.1195,0.132,0.056,0.158,0.1055,0.2805,0.0785,0.015
34,0.0435,0.126,0.1505,0.055,0.1505,0.0985,0.287,0.079,0.01
35,0.0385,0.1345,0.137,0.061,0.1555,0.1075,0.291,0.0665,0.0085
36,0.0475,0.144,0.138,0.0525,0.144,0.0995,0.2715,0.087,0.016
37,0.0435,0.134,0.1415,0.057,0.1435,0.109,0.289,0.073,0.0095
38,0.051,0.124,0.1345,0.0585,0.1385,0.1065,0.297,0.082,0.008
39,0.0495,0.1355,0.1505,0.054,0.137,0.11,0.274,0.0785,0.011
