,0,1,2,3,4,5,6,7,8
0,0.068,0.0985,0.098,0.041,0.1555,0.1455,0.2825,0.1,0.011
1,0.068,0.109,0.0875,0.0445,0.1445,0.1495,0.283,0.1025,0.0115
2,0.068,0.1055,0.094,0.0395,0.1485,0.1505,0.2795,0.1035,0.011
3,0.052,0.112,0.0925,0.0415,0.1675,0.1395,0.29,0.0945,0.0105
4,0.07,0.104,0.0935,0.039,0.1585,0.1425,0.286,0.0925,0.014
5,0.0625,0.1095,0.1025,0.0465,0.161,0.1215,0.278,0.1075,0.011
6,0.0585,0.1045,0.101,0.0355,0.1525,0.137,0.294,0.108,0.009
7,0.062,0.1115,0.1005,0.044,0.149,0.1345,0.2865,0.102,0.01
8,0.066,0.103,0.086,0.0385,0.161,0.1395,0.287,0.106,0.013
9,0.0615,0.0985,0.0905,0.0425,0.149,0.1295,0.3065,0.1105,0.0115
10,0.066,0.0965,0.103,0.049,0.154,0.1185,0.3025,0.1015,0.009
11,0.068,0.102,0.088,0.0435,0.1545,0.123,0.307,0.0995,0.0145
12,0.057,0.108,0.0995,0.0475,0.1525,0.132,0.278,0.1085,0.017
13,0.0615,0.1065,0.094,0.04,0.1525,0.145,0.2855,0.104,0.011
14,0.061,0.1005,0.101,0.0415,0.1455,0.14,0.29,0.104,0.0165
15,0.0645,0.1105,0.097,0.043,0.151,0.121,0.304,0.095,0.014
16,0.0655,0.092,0.104,0.0355,0.151,0.14,0.2955,0.1045,0.012
17,0.065,0.1145,0.086,0.036,0.158,0.1385,0.294,0.0955,0.0125
18,0.063,0.11,0.096,0.0475,0.1615,0.116,0.286,0.108,0.012
19,0.058,0.112,0.091,0.042,0.1435,0.152,0.2985,0.093,0.01
20,0.0575,0.1055,0.083,0.0475,0.148,0.1385,0.3005,0.1085,0.011
21,0.0675,0.088,0.0905,0.042,0.164,0.1405,0.2945,0.1,0.013
22,0.058,0.109,0.0915,0.0445,0.1525,0.137,0.2915,0.1015,0.0145
23,0.0645,0.104,0.0935,0.039,0.14,0.1435,0.294,0.106,0.0155
24,0.062,0.1035,0.1015,0.0515,0.152,0.134,0.289,0.0975,0.009
25,0.059,0.0945,0.0945,0.0475,0.15,0.1415,0.301,0.1,0.012
26,0.068,0.109,0.095,0.046,0.1425,0.128,0.2845,0.1125,0.0145
27,0.0585,0.107,0.091,0.048,0.1525,0.1445,0.2805,0.1045,0.0135
28,0.068,0.094,0.091,0.0485,0.16,0.142,0.29,0.0925,0.014
29,0.0635,0.094,0.093,0.0495,0.1585,0.129,0.289,0.1065,0.017
30,0.055,0.1145,0.0855,0.0465,0.153,0.1445,0.2915,0.098,0.0115
31,0.0525,0.113,0.0845,0.0375,0.143,0.139,0.3055,0.1125,0.0125
32,0.0635,0.113,0.104,0.038,0.1495,0.124,0.2895,0.104,0.0145
33,0.0615,0.1105,0.084,0.0415,0.1565,0.1355,0.2965,0.104,0.01
34,0.067,0.1045,0.09,0.0415,0.1685,0.1305,0.2825,0.106,0.0095
35,0.0545,0.101,0.0915,0.047,0.1565,0.147,0.292,0.098,0.0125
36,0.06,0.097,0.098,0.0425,0.15,0.1295,0.314,0.097,0.012
37,0.056,0.113,0.0955,0.042,0.1645,0.144,0.2785,0.092,0.0145
38,0.0645,0.1045,0.0895,0.0415,0.1485,0.146,0.291,0.1045,0.01
39,0.0625,0.103,0.09,0.046,0.163,0.131,0.2995,0.095,0.01
