,0,1,2,3,4,5,6,7,8
0,0.021,0.068,0.184,0.031,0.0945,0.215,0.195,0.115,0.0765
1,0.024,0.062,0.1735,0.0315,0.1005,0.215,0.206,0.109,0.0785
2,0.0255,0.055,0.1665,0.0285,0.11,0.2215,0.187,0.1275,0.0785
3,0.028,0.061,0.175,0.0295,0.0925,0.2065,0.1925,0.1305,0.0845
4,0.0275,0.0615,0.172,0.029,0.106,0.213,0.1935,0.1215,0.076
5,0.022,0.0635,0.1725,0.0255,0.092,0.2295,0.2035,0.1215,0.07
6,0.028,0.057,0.171,0.03,0.101,0.2195,0.1995,0.119,0.075
7,0.0245,0.0605,0.179,0.0275,0.0965,0.2225,0.1925,0.1335,0.0635
8,0.0215,0.061,0.178,0.033,0.096,0.205,0.2,0.132,0.0735
9,0.0265,0.0615,0.1815,0.0345,0.098,0.1985,0.191,0.1365,0.072
10,0.026,0.0655,0.178,0.0275,0.099,0.207,0.204,0.116,0.077
11,0.028,0.0685,0.178,0.0275,0.1,0.2045,0.21,0.123,0.0605
12,0.0275,0.062,0.1735,0.034,0.099,0.2245,0.1845,0.129,0.066
13,0.0235,0.0575,0.176,0.031,0.1,0.235,0.1715,0.1295,0.076
14,0.0275,0.062,0.1605,0.028,0.104,0.2305,0.2005,0.115,0.072
15,0.0235,0.0695,0.162,0.0285,0.102,0.211,0.19,0.1355,0.078
16,0.019,0.057,0.162,0.029,0.104,0.227,0.1995,0.1325,0.07
17,0.027,0.0655,0.1705,0.029,0.0955,0.2195,0.1915,0.125,0.0765
18,0.027,0.064,0.1885,0.031,0.0975,0.2105,0.1935,0.118,0.07
19,0.022,0.0675,0.1645,0.028,0.105,0.2335,0.185,0.122,0.0725
20,0.0255,0.0575,0.167,0.032,0.11,0.223,0.1845,0.1175,0.083
21,0.026,0.0595,0.183,0.025,0.105,0.2095,0.1965,0.1245,0.071
22,0.028,0.061,0.1815,0.024,0.1055,0.2145,0.181,0.124,0.0805
23,0.0305,0.0545,0.1675,0.0235,0.1055,0.2155,0.201,0.125,0.077
24,0.03,0.069,0.1765,0.0305,0.109,0.2075,0.177,0.1235,0.077
25,0.025,0.061,0.175,0.0285,0.098,0.2075,0.196,0.125,0.084
26,0.0275,0.058,0.178,0.027,0.106,0.212,0.2015,0.1195,0.0705
27,0.025,0.0625,0.1765,0.024,0.0985,0.2195,0.2015,0.1225,0.07
28,0.0305,0.0635,0.1725,0.023,0.098,0.224,0.2015,0.1155,0.0715
29,0.0305,0.05,0.1805,0.0265,0.104,0.2135,0.194,0.129,0.072
30,0.0305,0.064,0.173,0.0335,0.103,0.2165,0.1885,0.116,0.075
31,0.0295,0.071,0.1755,0.029,0.1065,0.206,0.19,0.1225,0.07
32,0.025,0.0615,0.17,0.0285,0.1035,0.215,0.192,0.13,0.0745
33,0.026,0.066,0.172,0.031,0.104,0.1965,0.199,0.13,0.0755
34,0.0315,0.051,0.1855,0.028,0.0925,0.21,0.198,0.129,0.0745
35,0.027,0.057,0.1795,0.032,0.0955,0.219,0.195,0.1265,0.0685
36,0.028,0.07,0.1625,0.0275,0.104,0.23,0.191,0.119,0.068
37,0.022,0.0585,0.1825,0.029,0.0895,0.2255,0.1865,0.135,0.0715
38,0.0265,0.0635,0.178,0.0265,0.097,0.2145,0.1955,0.127,0.0715
39,0.024,0.062,0.17,0.032,0.0945,0.218,0.1945,0.12,0.085
