,0,1,2,3,4,5,6,7,8
0,0.043,0.12,0.1955,0.0555,0.1585,0.1565,0.203,0.0605,0.0075
1,0.0445,0.1175,0.2015,0.0555,0.139,0.153,0.2215,0.06,0.0075
2,0.0525,0.13,0.195,0.043,0.147,0.1475,0.2115,0.065,0.0085
3,0.049,0.1245,0.191,0.047,0.1405,0.1675,0.213,0.0595,0.008
4,0.059,0.1155,0.19,0.054,0.157,0.1555,0.205,0.0535,0.0105
5,0.0455,0.1295,0.191,0.0495,0.143,0.1565,0.215,0.0625,0.0075
6,0.0365,0.1155,0.203,0.062,0.158,0.1585,0.197,0.0605,0.009
7,0.042,0.1205,0.1885,0.0525,0.1445,0.1675,0.217,0.059,0.0085
8,0.0465,0.119,0.206,0.0515,0.144,0.156,0.208,0.066,0.003
9,0.0535,0.121,0.2145,0.0555,0.1385,0.1565,0.194,0.0565,0.01
10,0.0525,0.128,0.1975,0.0485,0.1455,0.1505,0.222,0.0495,0.006
11,0.0455,0.134,0.213,0.0555,0.139,0.1525,0.19,0.0645,0.006
12,0.04,0.1195,0.2125,0.054,0.1355,0.163,0.21,0.0605,0.005
13,0.0465,0.115,0.209,0.0555,0.1425,0.1695,0.2005,0.0495,0.012
14,0.047,0.13,0.1845,0.055,0.141,0.1675,0.2015,0.069,0.0045
15,0.044,0.14,0.2,0.0485,0.1545,0.1555,0.1955,0.0535,0.0085
16,0.0525,0.1285,0.1975,0.0505,0.1405,0.152,0.218,0.052,0.0085
17,0.048,0.147,0.209,0.05,0.124,0.163,0.194,0.0585,0.0065
18,0.0395,0.1245,0.202,0.049,0.1335,0.174,0.2185,0.056,0.003
19,0.028,0.137,0.186,0.0515,0.161,0.1535,0.2115,0.065,0.0065
20,0.0465,0.118,0.2055,0.0595,0.1475,0.1645,0.1925,0.061,0.005
21,0.0375,0.13,0.1935,0.056,0.1525,0.1475,0.2155,0.0605,0.007
22,0.053,0.125,0.2025,0.0535,0.1505,0.153,0.208,0.0475,0.007
23,0.044,0.1245,0.205,0.048,0.162,0.158,0.198,0.049,0.0115
24,0.04,0.1315,0.195,0.055,0.1425,0.1625,0.2165,0.051,0.006
25,0.043,0.128,0.1885,0.0535,0.148,0.154,0.2135,0.066,0.0055
26,0.0365,0.1225,0.2005,0.0565,0.138,0.1605,0.2145,0.066,0.005
27,0.0445,0.11,0.1935,0.06,0.146,0.168,0.205,0.064,0.009
28,0.043,0.118,0.213,0.0505,0.1465,0.1585,0.209,0.0575,0.004
29,0.034,0.12,0.2045,0.062,0.159,0.1515,0.203,0.0605,0.0055
30,0.0425,0.1215,0.206,0.058,0.144,0.16,0.199,0.0625,0.0065
31,0.0455,0.123,0.2,0.056,0.134,0.1745,0.201,0.059,0.007
32,0.039,0.1175,0.205,0.0595,0.1445,0.16,0.205,0.063,0.0065
33,0.05,0.1285,0.201,0.06,0.1445,0.1545,0.1975,0.0585,0.0055
34,0.0365,0.132,0.1925,0.0525,0.151,0.1655,0.206,0.0575,0.0065
35,0.04,0.131,0.2065,0.0635,0.1395,0.1645,0.1955,0.053,0.0065
36,0.0415,0.1385,0.206,0.055,0.1545,0.145,0.2,0.053,0.0065
37,0.0395,0.1345,0.195,0.057,0.1345,0.161,0.211,0.0625,0.005
38,0.0465,0.13,0.2045,0.047,0.152,0.1595,0.2025,0.0515,0.0065
39,0.0415,0.121,0.1925,0.0695,0.1405,0.1635,0.2005,0.061,0.01
