,0,1,2,3,4,5,6,7,8
0,0.037,0.0715,0.064,0.0505,0.091,0.0895,0.3795,0.1505,0.0665
1,0.0805,0.1325,0.133,0.0965,0.159,0.164,0.776,0.323,0.1355
2,0.3055,0.4615,0.342,0.1375,0.176,0.169,0.7875,0.327,0.1355
3,0.5325,0.814,0.601,0.1775,0.1835,0.1575,0.7675,0.315,0.1345
4,0.571,0.88,0.629,0.18,0.1785,0.144,0.718,0.291,0.125
5,0.5655,0.867,0.619,0.175,0.1615,0.128,0.657,0.268,0.117
6,0.5595,0.8565,0.6075,0.167,0.1455,0.116,0.599,0.2405,0.108
7,0.555,0.8425,0.601,0.158,0.1305,0.1025,0.5365,0.2165,0.0985
8,0.549,0.833,0.59,0.149,0.119,0.092,0.4735,0.19,0.087
9,0.543,0.8255,0.579,0.1425,0.1085,0.081,0.411,0.1605,0.073
10,0.535,0.815,0.567,0.136,0.0965,0.0655,0.351,0.1365,0.063
11,0.529,0.806,0.555,0.129,0.0875,0.0555,0.2835,0.11,0.0515
12,0.521,0.7945,0.5435,0.123,0.077,0.0465,0.2205,0.083,0.0395
13,0.512,0.787,0.536,0.1145,0.065,0.0325,0.1575,0.0555,0.03
14,0.5085,0.7735,0.526,0.1055,0.054,0.02,0.099,0.026,0.019
15,0.4745,0.7265,0.499,0.0925,0.0475,0.017,0.0795,0.02,0.0165
16,0.4355,0.6655,0.4635,0.086,0.0455,0.0155,0.0705,0.0175,0.015
17,0.402,0.6025,0.424,0.0785,0.04,0.0135,0.064,0.017,0.0145
18,0.3565,0.553,0.3845,0.0695,0.0365,0.0115,0.059,0.0145,0.0125
19,0.316,0.4945,0.344,0.0625,0.031,0.01,0.055,0.0135,0.0125
