,0,1,2,3,4,5,6,7,8
0,0.051,0.122,0.1475,0.05,0.156,0.111,0.2785,0.0805,0.0035
1,0.0955,0.2545,0.2755,0.0965,0.3235,0.222,0.5595,0.158,0.015
2,0.136,0.367,0.3905,0.1385,0.451,0.317,0.799,0.2225,0.02
3,0.171,0.4765,0.5125,0.179,0.5705,0.418,1.0465,0.281,0.028
4,0.2035,0.594,0.628,0.2345,0.7065,0.5015,1.272,0.345,0.0395
5,0.2315,0.7025,0.733,0.2795,0.8435,0.5915,1.523,0.4135,0.048
6,0.2715,0.807,0.8455,0.33,0.9495,0.685,1.764,0.494,0.061
7,0.313,0.9155,0.9755,0.3775,1.063,0.7745,1.9925,0.5615,0.076
8,0.352,1.017,1.087,0.438,1.184,0.8585,2.2395,0.6265,0.088
9,0.3975,1.113,1.219,0.493,1.2965,0.9405,2.474,0.703,0.0955
10,0.4365,1.2125,1.332,0.552,1.42,1.0215,2.7235,0.767,0.1085
11,0.481,1.3335,1.448,0.604,1.521,1.1075,2.9715,0.8305,0.118
12,0.519,1.4425,1.562,0.666,1.6325,1.1885,3.214,0.9045,0.1275
13,0.556,1.561,1.669,0.723,1.7455,1.281,3.4555,0.9675,0.1395
14,0.601,1.6795,1.7735,0.78,1.856,1.3615,3.71,1.03,0.148
15,0.6485,1.814,1.893,0.8245,1.971,1.446,3.9305,1.0965,0.157
16,0.695,1.9285,2.0405,0.8645,2.0775,1.521,4.1605,1.166,0.169
17,0.7335,2.033,2.158,0.924,2.19,1.609,4.399,1.235,0.1825
18,0.745,2.0655,2.191,0.939,2.2155,1.629,4.4705,1.25,0.189
19,0.737,2.0425,2.17,0.932,2.1905,1.6095,4.426,1.24,0.1885
20,0.7295,2.026,2.147,0.925,2.1655,1.592,4.3795,1.225,0.188
21,0.72,2.01,2.1235,0.916,2.142,1.5755,4.335,1.2105,0.1865
22,0.715,1.99,2.098,0.907,2.12,1.559,4.2875,1.1985,0.1855
23,0.704,1.9615,2.0775,0.8985,2.0965,1.544,4.251,1.1855,0.1835
24,0.697,1.947,2.048,0.892,2.0765,1.524,4.203,1.174,0.182
25,0.69,1.9285,2.0265,0.886,2.0515,1.5045,4.154,1.1635,0.1805
