,0,1,2,3,4,5,6,7,8
0,0.06,0.109,0.089,0.0465,0.1585,0.15,0.276,0.0995,0.0115
1,0.1155,0.204,0.19,0.0875,0.3215,0.2905,0.559,0.208,0.024
2,0.172,0.2915,0.2745,0.123,0.4545,0.412,0.787,0.289,0.038
3,0.225,0.375,0.3455,0.163,0.5785,0.5225,1.038,0.3855,0.05
4,0.287,0.452,0.426,0.2065,0.7035,0.6395,1.2865,0.461,0.0625
5,0.334,0.551,0.51,0.2415,0.8295,0.7485,1.5245,0.55,0.077
6,0.3825,0.656,0.584,0.277,0.9435,0.8515,1.783,0.6445,0.0855
7,0.4395,0.7335,0.6665,0.313,1.0605,0.964,2.0465,0.7265,0.099
8,0.4905,0.825,0.748,0.3415,1.1955,1.073,2.2955,0.8145,0.107
9,0.544,0.9155,0.836,0.376,1.314,1.189,2.5405,0.897,0.12
10,0.594,0.991,0.921,0.416,1.446,1.2995,2.801,0.975,0.13
11,0.64,1.0805,1.0025,0.4555,1.5755,1.4035,3.052,1.0665,0.139
12,0.6935,1.182,1.082,0.492,1.701,1.5185,3.2935,1.1465,0.1475
13,0.7085,1.211,1.103,0.5025,1.7305,1.5445,3.3395,1.1705,0.1455
14,0.7005,1.195,1.0865,0.4975,1.7065,1.5215,3.2915,1.1535,0.1445
15,0.686,1.1755,1.071,0.4925,1.685,1.5,3.2465,1.1405,0.1415
16,0.675,1.159,1.0585,0.482,1.6605,1.474,3.206,1.1255,0.1395
17,0.668,1.1415,1.04,0.474,1.6295,1.453,3.1655,1.113,0.137
18,0.661,1.119,1.0215,0.468,1.6055,1.434,3.1225,1.0985,0.133
19,0.6485,1.1065,1.0115,0.4635,1.58,1.4055,3.0785,1.08,0.1305
20,0.64,1.094,0.9965,0.454,1.5555,1.3805,3.0375,1.059,0.129
21,0.631,1.079,0.98,0.446,1.531,1.357,2.996,1.042,0.1255
22,0.621,1.0615,0.967,0.4385,1.506,1.3335,2.9565,1.021,0.124
23,0.6105,1.0495,0.9505,0.433,1.4815,1.313,2.9065,1.004,0.122
24,0.599,1.0335,0.937,0.4245,1.4565,1.289,2.8625,0.99,0.12
25,0.5905,1.0165,0.926,0.418,1.4315,1.269,2.8095,0.9745,0.118
26,0.5805,1.0015,0.9145,0.4095,1.4115,1.2475,2.7585,0.9565,0.115
27,0.5685,0.9845,0.9,0.4035,1.3885,1.225,2.7105,0.945,0.111
28,0.5565,0.9695,0.879,0.395,1.367,1.201,2.6715,0.9305,0.108
29,0.5445,0.9515,0.8675,0.3905,1.345,1.1805,2.619,0.9165,0.1045
30,0.534,0.941,0.8535,0.3785,1.318,1.158,2.573,0.903,0.102
31,0.5245,0.923,0.837,0.371,1.2945,1.138,2.529,0.885,0.1005
32,0.515,0.906,0.822,0.3635,1.271,1.119,2.481,0.8675,0.099
33,0.504,0.8935,0.812,0.356,1.2465,1.095,2.4305,0.8525,0.0955
34,0.4935,0.877,0.797,0.3475,1.2285,1.0755,2.3815,0.835,0.0915
35,0.4835,0.857,0.784,0.341,1.205,1.0565,2.3375,0.8145,0.0895
36,0.4755,0.8355,0.765,0.333,1.1825,1.035,2.293,0.803,0.0875
37,0.464,0.8205,0.7455,0.3285,1.1555,1.0125,2.255,0.784,0.086
38,0.456,0.801,0.7285,0.322,1.1305,0.991,2.2135,0.7665,0.084
39,0.447,0.7845,0.712,0.316,1.1075,0.9715,2.1665,0.747,0.0825
40,0.4365,0.768,0.6955,0.311,1.086,0.946,2.1215,0.732,0.0795
41,0.429,0.75,0.6795,0.3025,1.0645,0.929,2.07,0.714,0.079
42,0.4185,0.7335,0.665,0.2975,1.041,0.9085,2.021,0.697,0.077
43,0.4065,0.7085,0.655,0.292,1.016,0.8895,1.97,0.687,0.076
44,0.398,0.688,0.6395,0.2825,0.9915,0.8705,1.9255,0.6725,0.074
45,0.391,0.6675,0.627,0.274,0.9715,0.852,1.877,0.651,0.0725
46,0.383,0.6505,0.6125,0.266,0.9515,0.8335,1.826,0.6325,0.0695
47,0.371,0.6355,0.5975,0.258,0.9255,0.8065,1.7855,0.619,0.068
48,0.3625,0.622,0.583,0.251,0.9055,0.7845,1.7315,0.6025,0.0655
49,0.352,0.6065,0.5685,0.2455,0.884,0.7625,1.681,0.5855,0.064
50,0.3355,0.59,0.5535,0.241,0.8585,0.7435,1.6365,0.5705,0.062
51,0.325,0.5765,0.536,0.2335,0.8365,0.7235,1.589,0.5535,0.059
52,0.317,0.5585,0.522,0.228,0.8125,0.703,1.5435,0.5335,0.056
53,0.305,0.5355,0.51,0.222,0.787,0.684,1.4995,0.518,0.0545
54,0.2975,0.522,0.4895,0.2175,0.761,0.6635,1.4515,0.5015,0.053
55,0.288,0.506,0.4745,0.2115,0.733,0.6445,1.402,0.4865,0.0525
56,0.281,0.4905,0.4605,0.2035,0.7065,0.623,1.3535,0.4705,0.051
57,0.266,0.477,0.441,0.197,0.681,0.601,1.3135,0.4555,0.0495
58,0.2605,0.461,0.4245,0.191,0.6565,0.5775,1.2655,0.4385,0.048
59,0.253,0.448,0.408,0.1845,0.632,0.553,1.2195,0.4225,0.044
60,0.2445,0.4285,0.391,0.1795,0.6065,0.5305,1.174,0.4085,0.043
61,0.2335,0.404,0.379,0.173,0.5825,0.506,1.1355,0.3935,0.0405
62,0.222,0.3895,0.362,0.168,0.5675,0.485,1.0845,0.3715,0.039
63,0.2115,0.37,0.3445,0.161,0.5415,0.469,1.0405,0.357,0.0355
64,0.2025,0.358,0.3275,0.153,0.519,0.4455,0.993,0.34,0.0335
65,0.1915,0.343,0.312,0.143,0.4965,0.429,0.945,0.3215,0.032
66,0.1815,0.329,0.2935,0.1355,0.4695,0.4065,0.904,0.306,0.0295
67,0.176,0.3145,0.276,0.127,0.445,0.3865,0.8565,0.2865,0.0285
68,0.164,0.3025,0.2605,0.1205,0.42,0.366,0.8025,0.275,0.027
69,0.1555,0.286,0.249,0.114,0.394,0.3435,0.75,0.262,0.0255
70,0.146,0.2685,0.2285,0.107,0.3695,0.3235,0.705,0.2495,0.0235
71,0.138,0.2555,0.2155,0.1025,0.343,0.302,0.6535,0.2325,0.02
72,0.1295,0.241,0.202,0.094,0.3175,0.2795,0.602,0.22,0.0185
73,0.1195,0.2235,0.1865,0.0855,0.288,0.264,0.557,0.2055,0.016
74,0.11,0.2025,0.174,0.0785,0.2675,0.2415,0.5115,0.186,0.0155
75,0.1015,0.1835,0.158,0.072,0.2435,0.22,0.466,0.171,0.013
76,0.0945,0.1655,0.1395,0.0655,0.22,0.2005,0.422,0.1505,0.012
