,0,1,2,3,4,5,6,7,8
0,0.0245,0.061,0.1855,0.03,0.0875,0.2215,0.1885,0.119,0.0825
1,0.05,0.131,0.346,0.063,0.2,0.421,0.3815,0.2425,0.165
2,0.0645,0.187,0.4805,0.094,0.2775,0.5955,0.5615,0.3485,0.2325
3,0.0825,0.233,0.614,0.122,0.357,0.7745,0.736,0.4645,0.2995
4,0.0995,0.2895,0.7715,0.147,0.448,0.9485,0.885,0.5605,0.375
5,0.117,0.3405,0.931,0.17,0.5245,1.1245,1.0415,0.673,0.444
6,0.139,0.392,1.078,0.1955,0.6175,1.294,1.194,0.7845,0.513
7,0.1715,0.4435,1.2135,0.218,0.7155,1.4845,1.342,0.8895,0.571
8,0.197,0.495,1.364,0.2405,0.7965,1.6705,1.4975,0.999,0.6305
9,0.2225,0.546,1.523,0.2625,0.8805,1.858,1.6595,1.1015,0.6785
10,0.2525,0.5975,1.674,0.29,0.966,2.042,1.827,1.1985,0.726
11,0.2785,0.6495,1.8225,0.3155,1.0515,2.2205,1.984,1.3095,0.7835
12,0.2985,0.7015,1.97,0.3335,1.1505,2.408,2.1495,1.407,0.838
13,0.318,0.755,2.1185,0.3505,1.2305,2.605,2.309,1.5195,0.892
14,0.345,0.799,2.2625,0.379,1.3115,2.806,2.4775,1.614,0.945
15,0.3445,0.7935,2.247,0.378,1.3015,2.783,2.452,1.6005,0.934
16,0.3415,0.7815,2.217,0.3715,1.2875,2.754,2.4215,1.58,0.921
17,0.339,0.7685,2.194,0.3625,1.2675,2.7155,2.396,1.566,0.908
18,0.338,0.756,2.1645,0.3585,1.2565,2.6825,2.3615,1.5425,0.8985
19,0.3375,0.7475,2.138,0.3515,1.2395,2.6535,2.327,1.5215,0.884
20,0.3315,0.738,2.1155,0.346,1.229,2.6185,2.2935,1.4965,0.873
21,0.3285,0.725,2.093,0.342,1.2105,2.59,2.2585,1.477,0.8585
22,0.3225,0.7185,2.0725,0.338,1.1965,2.548,2.2265,1.453,0.849
23,0.322,0.709,2.045,0.331,1.179,2.514,2.1955,1.436,0.8345
24,0.318,0.6995,2.0185,0.3265,1.1695,2.4795,2.1625,1.412,0.8215
25,0.3145,0.6905,1.9925,0.32,1.157,2.4475,2.1275,1.391,0.8085
26,0.3095,0.6855,1.962,0.314,1.141,2.4135,2.0955,1.3745,0.795
27,0.307,0.677,1.932,0.31,1.124,2.382,2.063,1.355,0.782
28,0.3025,0.6655,1.906,0.307,1.101,2.3445,2.042,1.3415,0.7635
29,0.3,0.6555,1.8775,0.303,1.083,2.3135,2.017,1.318,0.7475
30,0.294,0.6455,1.8405,0.3,1.0645,2.281,1.9915,1.3035,0.736
31,0.2915,0.6305,1.817,0.2945,1.052,2.252,1.959,1.2805,0.721
32,0.287,0.62,1.789,0.289,1.039,2.2205,1.924,1.2605,0.7105
33,0.283,0.614,1.756,0.283,1.0255,2.1845,1.896,1.2425,0.6965
34,0.2805,0.6,1.7305,0.279,1.0075,2.15,1.8675,1.222,0.6855
35,0.275,0.5895,1.699,0.273,0.9975,2.12,1.8375,1.203,0.6695
36,0.2705,0.5775,1.6645,0.2685,0.986,2.0905,1.81,1.1805,0.6575
37,0.267,0.57,1.6365,0.2655,0.969,2.058,1.774,1.1595,0.6475
38,0.2665,0.563,1.6075,0.2605,0.9555,2.0215,1.7455,1.138,0.6305
39,0.2615,0.5545,1.58,0.2565,0.9405,1.9895,1.7145,1.1145,0.6185
40,0.255,0.548,1.552,0.25,0.928,1.9545,1.684,1.092,0.608
41,0.2515,0.536,1.525,0.2445,0.9125,1.919,1.656,1.0725,0.596
42,0.2495,0.5235,1.491,0.2395,0.8955,1.8895,1.628,1.053,0.585
43,0.245,0.5125,1.463,0.235,0.876,1.858,1.6015,1.0325,0.5725
44,0.2415,0.505,1.436,0.231,0.8515,1.8285,1.574,1.0095,0.5605
45,0.239,0.496,1.4115,0.2265,0.835,1.7915,1.5435,0.9925,0.5435
46,0.235,0.4855,1.385,0.2245,0.8155,1.7505,1.521,0.9765,0.527
47,0.2285,0.4755,1.3585,0.222,0.8015,1.7135,1.4915,0.955,0.516
48,0.2215,0.4665,1.328,0.2165,0.782,1.681,1.4625,0.9375,0.508
49,0.213,0.458,1.2995,0.2115,0.766,1.651,1.4275,0.921,0.4975
50,0.207,0.4495,1.276,0.205,0.751,1.615,1.402,0.898,0.483
51,0.203,0.441,1.2505,0.202,0.7305,1.5775,1.373,0.8735,0.477
52,0.199,0.43,1.2255,0.1965,0.718,1.5445,1.343,0.848,0.465
53,0.1955,0.4205,1.193,0.1915,0.703,1.5145,1.3165,0.8275,0.449
54,0.1905,0.4155,1.1625,0.1885,0.6885,1.476,1.288,0.805,0.438
55,0.186,0.401,1.135,0.1865,0.6745,1.437,1.262,0.785,0.427
56,0.181,0.3935,1.1035,0.181,0.66,1.3995,1.2295,0.7695,0.418
57,0.178,0.3815,1.0775,0.1795,0.6415,1.364,1.202,0.7505,0.4025
58,0.1745,0.373,1.051,0.1735,0.6235,1.326,1.1675,0.7365,0.393
59,0.171,0.3625,1.019,0.1675,0.605,1.293,1.1385,0.718,0.3855
60,0.1665,0.3515,0.9945,0.1645,0.5865,1.2585,1.109,0.696,0.3745
61,0.1595,0.344,0.9645,0.16,0.5755,1.227,1.072,0.6775,0.363
62,0.155,0.338,0.935,0.1545,0.562,1.1845,1.0455,0.655,0.355
63,0.1495,0.3265,0.9045,0.151,0.5445,1.1525,1.0145,0.6355,0.3475
64,0.146,0.315,0.875,0.1465,0.529,1.1185,0.9825,0.62,0.335
65,0.139,0.302,0.8475,0.1415,0.5095,1.0875,0.955,0.605,0.322
66,0.1345,0.293,0.819,0.1345,0.4935,1.053,0.9225,0.584,0.3165
67,0.1295,0.283,0.796,0.131,0.4785,1.0195,0.887,0.564,0.3035
68,0.125,0.2735,0.7705,0.1255,0.4595,0.9855,0.855,0.544,0.295
69,0.121,0.2655,0.7435,0.1195,0.4425,0.95,0.823,0.5265,0.2835
70,0.115,0.2555,0.7115,0.114,0.431,0.9165,0.788,0.508,0.277
71,0.1105,0.2465,0.683,0.1085,0.4115,0.8835,0.7625,0.4865,0.2655
72,0.1055,0.2375,0.6565,0.106,0.393,0.8475,0.734,0.4615,0.258
73,0.0965,0.227,0.628,0.1,0.379,0.818,0.7035,0.4425,0.2465
74,0.095,0.214,0.596,0.094,0.358,0.7895,0.6755,0.4235,0.237
75,0.091,0.202,0.5685,0.0895,0.3405,0.7545,0.6485,0.405,0.2245
76,0.087,0.1945,0.535,0.0865,0.326,0.7175,0.617,0.3875,0.2145
77,0.082,0.185,0.512,0.0825,0.31,0.685,0.583,0.365,0.2025
78,0.081,0.172,0.4825,0.0785,0.2915,0.6495,0.553,0.35,0.1905
79,0.075,0.1635,0.4605,0.074,0.274,0.6155,0.5145,0.333,0.18
80,0.071,0.156,0.43,0.0705,0.2555,0.577,0.49,0.3175,0.164
81,0.0665,0.146,0.404,0.0645,0.238,0.5425,0.4625,0.2965,0.1525
82,0.0625,0.1305,0.3745,0.0625,0.2185,0.511,0.4315,0.2805,0.143
83,0.0595,0.1245,0.35,0.0595,0.2005,0.472,0.3995,0.256,0.1345
84,0.056,0.1135,0.328,0.0565,0.1795,0.4385,0.367,0.2345,0.124
85,0.0515,0.1035,0.2995,0.0525,0.1635,0.404,0.339,0.2135,0.112
86,0.048,0.0915,0.267,0.051,0.152,0.365,0.317,0.1905,0.0985
87,0.044,0.079,0.238,0.0485,0.14,0.331,0.2765,0.1725,0.0925
