,0,1,2,3,4,5,6,7,8
0,0.036,0.12,0.1715,0.0655,0.148,0.1485,0.219,0.072,0.0195
1,0.0765,0.241,0.3495,0.137,0.293,0.287,0.4315,0.1505,0.034
2,0.1205,0.3475,0.4975,0.197,0.402,0.4155,0.6035,0.2095,0.0485
3,0.1645,0.456,0.649,0.2555,0.52,0.5225,0.783,0.2735,0.059
4,0.215,0.561,0.7905,0.313,0.63,0.6405,0.97,0.3325,0.072
5,0.263,0.6565,0.9405,0.3735,0.736,0.7685,1.1565,0.387,0.0845
6,0.305,0.754,1.092,0.4265,0.855,0.8895,1.352,0.4365,0.097
7,0.342,0.85,1.2555,0.483,0.9655,1.0025,1.5445,0.496,0.11
8,0.372,0.9335,1.398,0.544,1.0835,1.1355,1.733,0.5625,0.1285
9,0.4185,1.039,1.542,0.6005,1.2055,1.2595,1.9135,0.612,0.1415
10,0.453,1.134,1.6985,0.658,1.3255,1.3745,2.0985,0.682,0.1495
11,0.4895,1.2265,1.8525,0.716,1.4505,1.4965,2.291,0.7335,0.159
12,0.529,1.322,1.974,0.7685,1.578,1.6295,2.4955,0.789,0.171
13,0.576,1.416,2.1285,0.832,1.6905,1.7495,2.6765,0.8485,0.1805
14,0.6235,1.5165,2.2845,0.9035,1.794,1.8615,2.8565,0.908,0.1915
15,0.6625,1.6005,2.4385,0.9765,1.9105,1.993,3.04,0.9585,0.201
16,0.705,1.6905,2.5875,1.036,2.034,2.103,3.231,1.0205,0.215
17,0.77,1.825,2.762,1.1025,2.128,2.1825,3.373,1.081,0.24
18,0.8375,1.9605,2.957,1.1655,2.2195,2.2755,3.496,1.1305,0.2635
19,0.9075,2.1015,3.136,1.216,2.311,2.3595,3.6445,1.1845,0.2865
20,0.9535,2.1945,3.263,1.2635,2.3805,2.4155,3.7655,1.226,0.305
21,0.947,2.175,3.237,1.251,2.3575,2.393,3.726,1.2185,0.3035
22,0.936,2.1535,3.209,1.241,2.337,2.3755,3.695,1.203,0.3
23,0.931,2.138,3.1775,1.224,2.314,2.3565,3.66,1.1925,0.298
24,0.922,2.114,3.1495,1.2115,2.2925,2.336,3.6295,1.1815,0.2965
25,0.911,2.091,3.1235,1.204,2.2735,2.3145,3.594,1.168,0.295
26,0.9045,2.0725,3.094,1.192,2.25,2.293,3.56,1.1575,0.2925
27,0.896,2.0505,3.0645,1.1825,2.226,2.2685,3.531,1.1465,0.292
28,0.891,2.03,3.0365,1.1715,2.2045,2.2455,3.4955,1.1365,0.288
29,0.883,2.012,3.012,1.1635,2.183,2.2245,3.4505,1.1265,0.2855
30,0.873,1.9915,2.982,1.1525,2.163,2.204,3.416,1.1165,0.2835
31,0.862,1.9705,2.952,1.144,2.146,2.185,3.378,1.1055,0.2805
32,0.851,1.9505,2.923,1.133,2.127,2.1605,3.3485,1.0955,0.276
33,0.839,1.9345,2.8995,1.1195,2.1025,2.136,3.3205,1.08,0.275
34,0.8295,1.9165,2.8715,1.1115,2.083,2.11,3.2865,1.068,0.2715
35,0.822,1.898,2.8415,1.1,2.064,2.0835,3.255,1.056,0.2695
36,0.8165,1.8805,2.8135,1.0905,2.0425,2.0545,3.2195,1.0465,0.267
37,0.8075,1.863,2.793,1.0775,2.0195,2.0305,3.1815,1.034,0.266
38,0.797,1.846,2.762,1.0685,2.001,2.011,3.144,1.0215,0.263
39,0.792,1.829,2.7315,1.053,1.982,1.99,3.105,1.014,0.259
40,0.7815,1.8035,2.705,1.044,1.96,1.973,3.0695,1.0055,0.255
41,0.774,1.789,2.6805,1.0355,1.934,1.9405,3.038,0.994,0.253
42,0.7665,1.7675,2.653,1.0235,1.9105,1.9215,3.004,0.9825,0.251
43,0.759,1.7485,2.6215,1.0135,1.8895,1.8965,2.972,0.973,0.248
44,0.7505,1.731,2.594,1.0015,1.866,1.878,2.9315,0.965,0.2455
45,0.746,1.7135,2.5645,0.992,1.8445,1.8495,2.895,0.9555,0.244
