,0,1,2,3,4,5,6,7,8
0,0.041,0.1025,0.1905,0.0725,0.157,0.171,0.197,0.0625,0.006
1,0.077,0.2205,0.376,0.1305,0.3135,0.3485,0.398,0.124,0.012
2,0.115,0.3255,0.5125,0.178,0.4345,0.4945,0.604,0.165,0.0125
3,0.1445,0.429,0.679,0.2185,0.5585,0.646,0.7675,0.219,0.021
4,0.178,0.529,0.8465,0.2535,0.683,0.787,0.94,0.2815,0.026
5,0.218,0.627,1.0045,0.306,0.808,0.9215,1.109,0.334,0.038
6,0.264,0.7405,1.171,0.3495,0.9275,1.0445,1.281,0.387,0.0425
7,0.3025,0.861,1.352,0.3835,1.0435,1.174,1.444,0.4415,0.047
8,0.346,0.952,1.5335,0.435,1.1715,1.3,1.6125,0.49,0.05
9,0.389,1.065,1.7035,0.4845,1.2745,1.4225,1.784,0.55,0.059
10,0.432,1.187,1.896,0.5285,1.3855,1.534,1.9465,0.5985,0.0655
11,0.478,1.3055,2.075,0.576,1.5155,1.6475,2.1005,0.6425,0.0745
12,0.523,1.4115,2.248,0.621,1.6385,1.778,2.266,0.693,0.0775
13,0.5545,1.53,2.4455,0.6605,1.757,1.9035,2.427,0.7335,0.0865
14,0.602,1.637,2.6225,0.715,1.868,2.012,2.5915,0.798,0.0935
15,0.6445,1.7285,2.817,0.753,1.991,2.132,2.762,0.8515,0.1015
16,0.6915,1.835,3.004,0.7915,2.096,2.245,2.939,0.9155,0.105
17,0.722,1.9295,3.1975,0.833,2.2195,2.364,3.1135,0.9755,0.1095
18,0.7615,2.0515,3.37,0.8695,2.3475,2.5015,3.265,1.021,0.118
19,0.802,2.158,3.545,0.914,2.463,2.6285,3.4405,1.073,0.123
20,0.8355,2.259,3.713,0.9615,2.5815,2.768,3.6245,1.119,0.1265
21,0.867,2.3635,3.873,1.018,2.7105,2.89,3.805,1.169,0.134
22,0.9085,2.4705,4.052,1.0605,2.8375,3.012,3.9795,1.2105,0.1405
23,0.945,2.573,4.208,1.1165,2.95,3.1565,4.1515,1.2615,0.151
24,0.9775,2.6785,4.3685,1.163,3.0915,3.2935,4.329,1.3,0.153
25,1.0065,2.7895,4.53,1.2085,3.2225,3.4435,4.4925,1.3455,0.1575
26,1.039,2.889,4.6795,1.26,3.334,3.5905,4.675,1.405,0.1655
27,1.0745,2.98,4.845,1.313,3.4715,3.7195,4.847,1.458,0.1705
28,1.111,3.0815,5.005,1.359,3.5995,3.855,5.0285,1.5025,0.1785
29,1.1425,3.1965,5.16,1.4155,3.738,3.9845,5.189,1.554,0.182
30,1.146,3.2165,5.184,1.426,3.7585,4.0025,5.228,1.5555,0.185
31,1.141,3.2015,5.1495,1.417,3.741,3.9745,5.19,1.545,0.184
32,1.133,3.1835,5.1255,1.409,3.718,3.9445,5.1585,1.53,0.183
33,1.127,3.166,5.0995,1.397,3.693,3.9185,5.1265,1.5175,0.1815
34,1.118,3.146,5.074,1.3845,3.6705,3.887,5.0995,1.509,0.1795
35,1.109,3.1285,5.044,1.376,3.6455,3.862,5.0715,1.4945,0.1785
36,1.1005,3.1115,5.011,1.3675,3.623,3.8415,5.0355,1.484,0.1765
37,1.0935,3.098,4.9805,1.358,3.596,3.8135,5.0025,1.477,0.1735
38,1.089,3.077,4.9475,1.3485,3.578,3.7905,4.9615,1.4695,0.1725
39,1.0845,3.054,4.9145,1.338,3.557,3.766,4.932,1.4595,0.17
40,1.0785,3.035,4.884,1.329,3.5335,3.7355,4.9035,1.449,0.169
41,1.071,3.017,4.8505,1.3205,3.5065,3.7125,4.871,1.441,0.1685
42,1.0615,2.996,4.824,1.3125,3.4855,3.687,4.833,1.432,0.1685
43,1.0485,2.977,4.792,1.302,3.462,3.665,4.8045,1.4235,0.167
44,1.0415,2.957,4.76,1.293,3.439,3.645,4.768,1.4145,0.165
45,1.0345,2.935,4.7245,1.2845,3.4165,3.6215,4.741,1.403,0.164
46,1.027,2.912,4.6885,1.2785,3.393,3.5985,4.7125,1.3925,0.1635
47,1.0165,2.892,4.6555,1.2745,3.368,3.574,4.6815,1.3825,0.163
48,1.009,2.868,4.6195,1.2685,3.3475,3.548,4.6545,1.3715,0.1625
49,1.001,2.8495,4.5865,1.2615,3.322,3.526,4.6205,1.3615,0.162
50,0.9965,2.8275,4.556,1.252,3.3015,3.5055,4.581,1.3525,0.1595
51,0.9905,2.802,4.5225,1.244,3.28,3.478,4.554,1.3435,0.159
52,0.986,2.7855,4.4935,1.235,3.253,3.4505,4.5245,1.3285,0.1585
53,0.975,2.763,4.457,1.2275,3.2295,3.4275,4.499,1.3195,0.1585
54,0.9675,2.7455,4.4245,1.219,3.207,3.4015,4.464,1.312,0.157
55,0.959,2.7265,4.3905,1.209,3.184,3.3785,4.4345,1.3005,0.157
